1,username2,2019-03-15,username5,2019-03-17
1,username6,2019-03-17,username7,2019-03-19
1,username8,2019-03-19,username2,2019-03-21
2,username11,2019-03-15,username12,username12,2019-03-18
4,username13,2019-03-15,username14,2019-03-18
4,username16,2019-03-18,username17,2019-03-19
4,username18,2019-03-19,username19,2019-03-21
4,username21,2019-03-21,username13,2019-03-24
5,username23,2019-03-15,username24,2019-03-16
5,username26,2019-03-16,username28,2019-03-17
5,username29,2019-03-17,username31,2019-03-18
5,username34,2019-03-18,username23,2019-03-20
6,username36,2019-03-15,username37,2019-03-16
6,username39,2019-03-16,username40,2019-03-18
6,username41,2019-03-18,username36,2019-03-21
7,username44,2019-03-15,username45,2019-03-18
7,username46,2019-03-18,username47,username47,2019-03-21
8,username49,2019-03-15,username50,2019-03-19
8,username51,2019-03-19,username49,2019-03-20
9,username55,2019-03-15,username56,username56,2019-03-18
10,username57,2019-03-15,username59,2019-03-16
10,username60,2019-03-16,username62,2019-03-18
10,username63,2019-03-18,username64,2019-03-21
10,username66,2019-03-21,,2019-03-25
11,username69,2019-03-15,username70,2019-03-18
11,username72,2019-03-18,username73,2019-03-20
11,username75,2019-03-20,username76,username76,2019-03-21
12,username77,2019-03-15,,2019-03-19
13,username80,2019-03-15,username81,2019-03-19
13,username84,2019-03-19,username85,2019-03-23
13,username86,2019-03-23,username87,2019-03-27
13,username89,2019-03-27,username80,2019-03-31
14,username92,2019-03-15,username93,2019-03-16
14,username94,2019-03-16,username95,2019-03-18
14,username96,2019-03-18,username92,2019-03-22
15,username99,2019-03-15,username100,2019-03-19
15,username101,2019-03-19,username104,2019-03-20
15,username105,2019-03-20,username99,2019-03-24
16,username107,2019-03-15,username110,2019-03-17
16,username113,2019-03-17,username114,2019-03-18
16,username115,2019-03-18,username116,username116,2019-03-22
17,username118,2019-03-15,username120,2019-03-19
17,username121,2019-03-19,username118,2019-03-23
18,username125,2019-03-15,username126,username126,2019-03-16
20,username127,2019-03-15,username128,username128,2019-03-17
22,username130,2019-03-15,username133,2019-03-19
22,username134,2019-03-19,username136,2019-03-23
22,username137,2019-03-23,username130,2019-03-24
24,username141,2019-03-15,username143,2019-03-16
24,username144,2019-03-16,username145,2019-03-17
24,username147,2019-03-17,username141,2019-03-20
25,username149,2019-03-15,username153,2019-03-19
25,username155,2019-03-19,username156,2019-03-20
25,username157,2019-03-20,username158,2019-03-21
25,username159,2019-03-21,username149,2019-03-22
26,username162,2019-03-15,username163,2019-03-16
26,username165,2019-03-16,username162,2019-03-18
27,username168,2019-03-15,username170,2019-03-18
27,username171,2019-03-18,username172,2019-03-19
27,username174,2019-03-19,username175,2019-03-23
27,username176,2019-03-23,username168,2019-03-27
28,username179,2019-03-15,username180,2019-03-19
28,username181,2019-03-19,username179,2019-03-20
29,username184,2019-03-15,username185,2019-03-16
29,username187,2019-03-16,username184,2019-03-17
30,username189,2019-03-15,username190,2019-03-16
30,username192,2019-03-16,username189,2019-03-17
31,username195,2019-03-15,username196,2019-03-19
31,username197,2019-03-19,username198,2019-03-21
31,username199,2019-03-21,username201,2019-03-22
31,username202,2019-03-22,username195,2019-03-23
32,username204,2019-03-15,username205,2019-03-18
32,username207,2019-03-18,username209,2019-03-20
32,username210,2019-03-20,username211,username211,2019-03-21
33,username213,2019-03-15,username214,2019-03-19
33,username216,2019-03-19,username217,username217,2019-03-20
34,username218,2019-03-15,username219,2019-03-18
34,username220,2019-03-18,username218,2019-03-22
35,username224,2019-03-15,username224,2019-03-19
36,username227,2019-03-15,username228,2019-03-17
36,username230,2019-03-17,username232,2019-03-18
36,username233,2019-03-18,username234,2019-03-21
36,username235,2019-03-21,,2019-03-25
37,username238,2019-03-15,username239,2019-03-16
37,username240,2019-03-16,username242,username242,2019-03-18
38,username243,2019-03-15,username244,2019-03-18
38,username245,2019-03-18,username247,2019-03-22
38,username248,2019-03-22,username250,2019-03-23
38,username251,2019-03-23,username243,2019-03-25
39,username254,2019-03-15,username255,2019-03-19
39,username257,2019-03-19,username258,2019-03-23
39,username260,2019-03-23,username261,2019-03-26
39,username262,2019-03-26,username254,2019-03-27
40,username264,2019-03-15,username267,2019-03-16
40,username268,2019-03-16,username269,2019-03-18
40,username270,2019-03-18,username264,2019-03-20
41,username273,2019-03-15,username274,2019-03-19
41,username275,2019-03-19,username276,2019-03-22
41,username278,2019-03-22,username279,2019-03-26
41,username280,2019-03-26,username281,username281,2019-03-28
42,username285,2019-03-15,username286,2019-03-17
42,username288,2019-03-17,username290,2019-03-20
42,username291,2019-03-20,username292,2019-03-22
42,username293,2019-03-22,username285,2019-03-24
44,username296,2019-03-15,username297,2019-03-19
44,username298,2019-03-19,username296,2019-03-23
45,username301,2019-03-15,username302,2019-03-17
45,username303,2019-03-17,username305,2019-03-18
45,username306,2019-03-18,username301,2019-03-20
46,username309,2019-03-15,username310,2019-03-18
46,username312,2019-03-18,username309,2019-03-20
47,username314,2019-03-15,username314,2019-03-16
48,username317,2019-03-15,username318,2019-03-17
48,username319,2019-03-17,username321,2019-03-19
48,username322,2019-03-19,username317,2019-03-20
49,username325,2019-03-15,username327,2019-03-17
49,username330,2019-03-17,username325,2019-03-21
50,username334,2019-03-15,username335,2019-03-16
50,username336,2019-03-16,username338,2019-03-20
50,username339,2019-03-20,username334,2019-03-24
51,username342,2019-03-15,username343,2019-03-18
51,username344,2019-03-18,username342,2019-03-21
52,username347,2019-03-15,username347,2019-03-16
53,username349,2019-03-15,username350,2019-03-19
53,username352,2019-03-19,username353,2019-03-22
53,username354,2019-03-22,username355,2019-03-26
53,username357,2019-03-26,username358,username358,2019-03-28
54,username359,2019-03-15,username360,2019-03-18
54,username362,2019-03-18,username359,2019-03-22
55,username364,2019-03-15,username365,2019-03-18
55,username366,2019-03-18,username368,2019-03-19
55,username370,2019-03-19,username364,2019-03-21
56,username372,2019-03-15,username372,2019-03-19
58,username375,2019-03-15,username376,2019-03-17
58,username377,2019-03-17,username379,2019-03-20
58,username380,2019-03-20,username382,2019-03-24
58,username384,2019-03-24,username375,2019-03-26
59,username386,2019-03-15,username388,2019-03-18
59,username389,2019-03-18,username390,2019-03-19
59,username391,2019-03-19,username392,2019-03-23
59,username394,2019-03-23,username386,2019-03-25
60,username398,2019-03-15,username400,2019-03-19
60,username401,2019-03-19,username403,2019-03-20
60,username404,2019-03-20,username405,2019-03-24
60,username406,2019-03-24,username398,2019-03-25
61,username409,2019-03-15,username411,2019-03-19
61,username412,2019-03-19,username414,2019-03-22
61,username415,2019-03-22,username409,2019-03-24
62,username417,2019-03-15,username418,2019-03-17
62,username420,2019-03-17,username423,2019-03-18
62,username424,2019-03-18,username417,2019-03-19
64,username427,2019-03-15,username428,username428,2019-03-18
65,username429,2019-03-15,username431,2019-03-18
65,username432,2019-03-18,username433,2019-03-20
65,username435,2019-03-20,username429,2019-03-24
66,username437,2019-03-15,username438,username438,2019-03-17
67,username441,2019-03-15,username442,2019-03-19
67,username443,2019-03-19,username444,2019-03-23
67,username445,2019-03-23,username447,2019-03-26
67,username449,2019-03-26,username441,2019-03-30
68,username452,2019-03-15,username455,2019-03-17
68,username456,2019-03-17,username457,2019-03-21
68,username458,2019-03-21,username459,2019-03-25
68,username461,2019-03-25,,2019-03-27
69,username463,2019-03-15,username464,2019-03-18
69,username465,2019-03-18,username467,2019-03-22
69,username468,2019-03-22,username469,2019-03-26
69,username470,2019-03-26,username463,2019-03-27
70,username473,2019-03-15,username474,2019-03-18
70,username475,2019-03-18,username477,username477,2019-03-20
71,username478,2019-03-15,username479,username479,2019-03-16
72,username480,2019-03-15,username481,2019-03-17
72,username483,2019-03-17,username486,2019-03-21
72,username488,2019-03-21,username480,2019-03-22
73,username490,2019-03-15,username492,2019-03-16
73,username493,2019-03-16,username494,2019-03-18
73,username495,2019-03-18,username497,2019-03-21
73,username498,2019-03-21,username490,2019-03-22
74,username502,2019-03-15,username502,2019-03-19
76,username504,2019-03-15,username507,2019-03-19
76,username508,2019-03-19,username509,2019-03-23
76,username510,2019-03-23,username511,2019-03-24
76,username513,2019-03-24,username514,username514,2019-03-28
78,username515,2019-03-15,username516,2019-03-19
78,username517,2019-03-19,username519,2019-03-22
78,username523,2019-03-22,username524,2019-03-25
78,username527,2019-03-25,username529,username529,2019-03-26
80,username530,2019-03-15,username530,2019-03-16
81,username532,2019-03-15,username532,2019-03-19
83,username535,2019-03-15,username535,2019-03-19
84,username538,2019-03-15,username539,2019-03-16
84,username540,2019-03-16,username541,2019-03-18
84,username543,2019-03-18,username538,2019-03-19
85,username545,2019-03-15,,2019-03-19
86,username547,2019-03-15,username550,2019-03-18
86,username551,2019-03-18,username552,2019-03-21
86,username554,2019-03-21,username547,2019-03-24
88,username556,2019-03-15,username557,2019-03-16
88,username559,2019-03-16,username560,2019-03-17
88,username561,2019-03-17,username556,2019-03-20
89,username567,2019-03-15,username568,2019-03-19
89,username569,2019-03-19,username570,2019-03-21
89,username572,2019-03-21,username574,2019-03-23
89,username575,2019-03-23,username567,2019-03-25
90,username577,2019-03-15,username579,2019-03-18
90,username580,2019-03-18,username581,2019-03-19
90,username584,2019-03-19,username585,username585,2019-03-21
91,username586,2019-03-15,username586,2019-03-19
92,username588,2019-03-15,username588,2019-03-18
94,username591,2019-03-15,username592,2019-03-18
94,username593,2019-03-18,username594,2019-03-22
94,username596,2019-03-22,username591,2019-03-26
95,username598,2019-03-15,username601,2019-03-19
95,username602,2019-03-19,username604,2019-03-22
95,username605,2019-03-22,username598,2019-03-23
96,username608,2019-03-15,username609,2019-03-18
96,username610,2019-03-18,username611,2019-03-20
96,username613,2019-03-20,username608,2019-03-24
97,username615,2019-03-15,username615,2019-03-19
98,username619,2019-03-15,username620,2019-03-17
98,username621,2019-03-17,username622,2019-03-19
98,username625,2019-03-19,username626,2019-03-22
98,username627,2019-03-22,username619,2019-03-24
100,username629,2019-03-15,username631,2019-03-16
100,username632,2019-03-16,username633,2019-03-19
100,username634,2019-03-19,username636,2019-03-23
100,username638,2019-03-23,username629,2019-03-27
102,username641,2019-03-15,username642,2019-03-18
102,username643,2019-03-18,,2019-03-22
103,username646,2019-03-15,username648,2019-03-18
103,username649,2019-03-18,username650,2019-03-19
103,username652,2019-03-19,username646,2019-03-21
104,username654,2019-03-15,username656,2019-03-18
104,username657,2019-03-18,username658,2019-03-22
104,username660,2019-03-22,username661,2019-03-26
104,username663,2019-03-26,username665,username665,2019-03-27
105,username666,2019-03-15,username667,2019-03-18
105,username668,2019-03-18,username666,2019-03-20
106,username671,2019-03-15,username673,2019-03-18
106,username674,2019-03-18,username671,2019-03-22
107,username676,2019-03-15,username676,2019-03-18
108,username679,2019-03-15,username681,2019-03-16
108,username682,2019-03-16,username684,2019-03-18
108,username686,2019-03-18,username687,2019-03-20
108,username688,2019-03-20,username689,username689,2019-03-22
109,username691,2019-03-15,username692,2019-03-16
109,username693,2019-03-16,username695,2019-03-17
109,username696,2019-03-17,username697,2019-03-18
109,username698,2019-03-18,,2019-03-20
110,username701,2019-03-15,username703,2019-03-18
110,username704,2019-03-18,username705,2019-03-20
110,username706,2019-03-20,username708,2019-03-22
110,username709,2019-03-22,username701,2019-03-26
113,username712,2019-03-15,username712,2019-03-16
114,username714,2019-03-15,username716,2019-03-17
114,username717,2019-03-17,,2019-03-19
116,username720,2019-03-15,username721,2019-03-18
116,username722,2019-03-18,username720,2019-03-19
117,username725,2019-03-15,username726,username726,2019-03-18
